deck,p_habit,metric,n_pairs,mean_gap_delta,std_gap_delta,ci_low,ci_high,direction
78,1,repeated_chars,10,-0.01971387697,0.027058289,-0.03500138476,-0.003309223801,better
78,1,tripled_chars,10,0.00934273918,0.02282108261,-0.003494734614,0.02287016808,worse
78,1,unique_ngrams,10,0.3122457589,0.009871527109,0.3066879071,0.3181475514,worse
78,1,entropy,10,0.3668146,0.07311114173,0.3270022475,0.4125507402,worse
78,1,compression,10,0.375654799,0.02450791692,0.3623244514,0.3913596605,worse
78,1,zipf,10,0.7648562722,0.357918304,0.5598538547,0.97854216,worse
78,1,flipped_pairs,10,0.9943658003,0.1091175253,0.9303756094,1.058051924,worse
both,0.3,wordlen_mean,20,0.002235418211,0.01671697044,-0.004752507532,0.009505106895,worse
both,0.3,wordlen_std,20,-0.001742697082,0.01293341338,-0.007192329146,0.003785688281,better
both,0.3,wordlen_skew,20,-0.01603645133,0.09121909389,-0.0568230488,0.02058638283,better
both,0.3,wordlen_unique_mean,20,-0.007865227874,0.01813487323,-0.01570502487,-0.0001895529719,better
both,0.3,wordlen_unique_std,20,0.0004373324995,0.0149695196,-0.006045143136,0.006713311472,worse
both,0.3,wordlen_unique_skew,20,-0.04200377605,0.1006553663,-0.08631607739,-0.0005619625108,better
both,0.3,wordlen_autocorr,20,0.03449878635,0.1185372561,-0.01790677274,0.08302718201,worse
both,0.3,wordunique_mean,20,0.01306521261,0.02459370327,0.00265207009,0.023889676,worse
both,0.3,wordunique_std,20,0.01090506436,0.03440862411,-0.003724782484,0.02545496484,worse
both,0.3,wordunique_skew,20,0.08541266472,0.2150296529,-0.006590176125,0.1785237262,worse
both,0.3,wordchange_mean,20,0.01016159841,0.03942277689,-0.007233846577,0.027319548,worse
both,0.3,wordchange_std,20,0.004092634169,0.05321053217,-0.01860313576,0.02621583178,worse
both,0.3,wordchange_skew,20,0.1349764768,0.3981926034,-0.04098007469,0.3015472215,worse
both,0.3,worddist_max,20,-0.1785408399,0.05388957285,-0.2007602965,-0.1547175495,better
both,0.3,worddist_shape,20,-0.2903022783,0.1344928914,-0.3457958743,-0.2300906033,better
both,0.3,wordbias_mean,20,0.03896233028,0.06568255863,0.01121612887,0.06736755556,worse
both,0.3,wordbias_std,20,0.2375134944,0.123606706,0.1847601756,0.2914732485,worse
both,0.3,wordbias_skew,20,0.1819660325,0.03953321995,0.1653943168,0.1997837673,worse
both,0.3,wordbias_lines_mean,20,0.1989950263,0.04122871431,0.1804024326,0.2160050236,worse
both,0.3,wordbias_lines_std,20,0.3794369001,0.106033994,0.3319984987,0.4233897917,worse
both,0.3,wordbias_lines_skew,20,0.1780482006,0.04492276226,0.1588612482,0.1971400181,worse
